날짜,제목,본문,감성점수
2025.07.24 17:48,2차전지·철강株 랠리에 포스코그룹 ETF 날았다,"'ACE포스코그룹' 한달 19% ↑
퓨처엠·홀딩스 등 급등한 덕분
증권가도 목표주가 높여잡아








사진=게티이미지뱅크
포스코그룹에 집중적으로 투자하는 상장지수펀드(ETF)가 지난 한 달간 다른 대기업그룹 ETF와 비교해 독보적인 수익을 냈다. 포스코그룹의 주력 사업 분야인 2차전지와 철강 관련 업종이 최근 랠리를 펼치며 ETF 가격을 밀어 올렸다.
24일 한국거래소에 따르면 ‘ACE 포스코그룹포커스’는 최근 한 달(6월 23일~7월 23일)간 19.42% 급등했다. 삼성그룹 계열사에 투자하는 ‘KODEX 삼성그룹’은 같은 기간 8.22% 올랐고, ‘TIGER LG그룹+펀더멘털’은 11.55%, ‘TIGER 현대차그룹+펀더멘털’은 8.4% 상승했다. 연초부터 조선·방위산업 계열사를 중심으로 상승장을 이끈 ‘PLUS 한화그룹주’는 같은 기간 0.06% 떨어졌다.
최근 철강주와 2차전지주의 강세가 관련 사업에 역량을 집중하고 있는 포스코그룹 ETF 상승을 이끌었다. 지주회사인 포스코홀딩스 주가는 이 기간 31.76% 뛰었다. 중국 철강 기업들의 감산으로 국내 철강주가 반사이익을 얻을 것이라는 기대가 커져서다. 포스코홀딩스는 국내 최대 철강 업체인 포스코 지분 100%를 보유하고 있다. 철강 제품 포장 및 철강 부원료 사업을 하는 포스코엠텍도 최근 주가가 급등했다. 2차전지 소재 기업인 포스코퓨처엠 주가는 한 달간 19.4% 올랐다. 미국이 중국산 흑연 음극재에 반덤핑 관세를 부과한다고 발표하면서 다른 원산지에서 흑연을 가져다 쓰는 포스코퓨처엠에 관심이 쏠렸다.
권지우 한화투자증권 연구원은 “포스코홀딩스 철강부문 실적은 내년에 더 좋아질 것”이라며 “철광석·원료탄 가격 안정으로 제조원가가 낮아지고, 판가도 인상될 것으로 보인다”고 말했다. 포스코홀딩스 목표주가는 50만원으로 제시했다. 이날 포스코홀딩스는 0.3% 내린 33만4000원에 거래를 마감했다.",1.0
2025.07.24 17:36,"포스코그룹, 1% 나눔으로 모두의 희망이 되다","포스코그룹은 2013년 포스코1%나눔재단을 설립하는 등 창립 이래 줄곧 지역사회와 함께 성장하며 지역 중심의 사회공헌활동을 추진하고 있다.
 
 








 
  포항 포은중학교 학생이 포스코1%나눔재단의 상상이상 사이언스 창의과학 교육 프로그램에 참여하고 있다. 포스코그룹 제공  
  24일 포스코에 따르면 포스코1%나눔재단은 포스코그룹과 협력사 임직원들의 자발적인 1% 급여 기부와 회사의 매칭그랜트 기금으로 운영하는 비영리 공익법인이다.
   
  2013년부터 지난해까지 누적 모금액 총 1061억7000만원을 달성하는 등 국내 대표적인 임직원 참여 재단으로 성장했다.
   
  지난해 포스코1%나눔재단은 포스코그룹과 협력사 임직원 3만9402명의 기부와 매칭그랜트 등을 포함해 총 104억원을 모금하고 미래세대 육성, 취약계층 자립지원 사업 등에 98억9000만원을 지출했다.
   
  미래세대 분야에서는 포항·광양 포함 전국 87개 중학교에서 9754명의 학생들이 참여한 창의과학 교육 프로그램을 진행했다.
   
  자립준비청년 50명에게 취·창업 프로그램과 포스코그룹 임직원 멘토링을 지원했다.
   
  또한 포항지역 다문화와 취약계층 청소년 25명에게 진학·취업 교육을 지원했다.
   
  창의과학 교육 프로그램인 ‘상상이상 사이언스’는 과학 꿈나무 양성을 위한 찾아가는 체험형 창의과학 교육 프로젝트다.
   
  직접 학교를 방문해 미래 과학기술, 생물다양성 교육 등 다양한 프로그램을 통해 학생들에게 환경과 과학에 대한 흥미를 높여주고 다양한 진로 탐색 기회를 제공하고 있다.
   
  취약계층 자립지원 분야에서는 ‘희망날개’ 사업을 통해 상이 국가유공자 23명과 보훈병원 4개소에 로봇 의수·의족, 국산 보행재활로봇 등 첨단보조기기를, 지역사회 장애인 120명에게는 맞춤형 보조기구를 지원했다.
   
  장애인 대상으로는 IT 분야 취업을 지원하는 코딩 등 웹 개발 전문 교육 제공했다.
 
 








 
  포항 포은중학교 학생들이 포스코1%나눔재단의 상상이상 사이언스 생물다양성 교육 프로그램에 참여하고 있다. 포스코그룹 제공  
  ‘만남이 예술이 되다’ 프로그램을 통해 장애예술인에게는 대중가수와의 협업을 통한 예술활동 기회를 제공했다.
   
  또한 노후화 등으로 공간 개선이 필요한 포항·광양 장애인 시설과 제철소 자매마을 공공시설 39개소를 리모델링했다.
   
  이와 함께 기부자가 재단 사업에 직접 참여해 아이디어를 제안하고 직접 실행하는 124건의 ‘체인지 마이 타운(Change My Town)’ 사업을 추진했다.
   
  기부자가 직접 기부처를 추천하고 기부하는 ‘1%마리채’ 사업을 통해 138개 기관을 지원했다.
   
  또한 포스코1%나눔재단은 국가유공자 예우 문화 확산 공로로 보훈문화상(국가보훈부 장관상)을, 장애 인식 개선과 장애 예술인 대중화에 기여한 공로로 장애인문화예술 대상(국회의장상)을 수상했다.
   
  국가유공자 첨단보조기구 지원 사업 영상은 CSR 필름 페스티벌 어워드에서 최고상인 대상(기획재정부 장관상)을 받았다.
   
  이밖에도 포스코그룹은 1971년 포스코청암재단을 설립해 우수 인재 양성과 글로벌 사회공헌 활동을 통해 대한민국은 물론 아시아 공동 발전에 기여해오고 있다.
   
  포스코청암재단의 대표사업으로는 포스코청암상, 포스코사이언스펠로십, 포스코아시아펠로십, 포스코유스펠로십 등이 있다.
   
  포스코청암상은 포스코청암재단이 2006년 포스코 창업이념인 창의존중·인재중시·봉사정신에 대한 국민적 관심과 참여를 확산시켜 국가발전에 기여하고자 제정했다.
   
  더불어 포스코사이언스펠로십, 포스코아시아펠로십, 포스코유스펠로십 등을 통해 한국은 물론 글로벌 차원에서 인재육성에도 힘 쏟고 있다.
   
  포스코청암재단은 “국내외 장학∙학술∙문화 사업을 통해 차세대 인재육성, 아시아 네트워킹, 참여와 나눔 실천을 핵심전략으로 우리 사회의 미래, 더 나아가 아시아의 미래에 지속 이바지할 계획”이라고 밝혔다.",0.5
2025.07.24 15:36,[포스코이앤씨 is]② 줄어든 '캡티브' 흔들리는 수익기반,"인천 송도에 소재한 포스코이앤씨 사옥 전경 /사진 제공=포스코이앤씨
 
포스코그룹이 철강산업 부진으로 재계순위가 내려앉은 가운데 건설 계열사인 포스코이앤씨에도 악영향이 이어지고 있다. 그룹이 이차전지를 제외한 사업의 신규 투자를 줄이면서 캡티브(전속시장) 일감이 급감했기 때문이다. 그동안에는 캡티브로 건축·주택에 치중된 포트폴리오를 보완했지만 신규 일감과 수주잔액이 모두 감소하면서 수익기반이 흔들리고 있다.
 
그룹 침체 '후폭풍' 캡티브 감소세
24일 공정거래위원회에 따르면 포스코그룹은 올해 재계순위 6위로 지난해보다 1계단 밀려났다. 철강업 악화로 타 그룹에 비해 자산증가 폭이 미미했기 때문이다.
포스코이앤씨도 그룹 침체의 후폭풍을 맞았으며 계열사들이 투자속도를 조절하면서 캡티브 수주 또한 급감했다. 2023년 이전에는 저탄소·친환경 전환에 따른 신규 투자로 캡티브가 증가했지만 2024년 이후 글로벌 경기둔화로 외형이 축소되고 있다.
지난해 계열 신규 수주는 7186억원으로 전년(2조2865억원) 대비 68.57% 감소했다. 또 계열 수주잔액은 2020~2023년에 4조원대였지만 지난해에는 2조7227억원으로 줄었다. 지난해 말 계열 수주 비율은 6.87%로 평균의 절반 수준이다.
 








/표=공시 가공
 
지난해까지는 내부거래 매출이 유지됐지만 캡티브 수주 감소세가 지속되면 타격이 불가피하다. 연결기준 연간 10조원의 매출 중 캡티브가 약 20~25%를 차지하기 때문이다. 특수관계자와의 거래내역은 2020년 1조7181억원에서 2021년 2조2262억원으로 늘어난 뒤 2023~2024년 각각 2조6361억원, 2조6236억원을 기록하며 수익을 견인했다.
다만 캡티브 수주가 줄어든 올 1분기 특수관계자와의 거래내역은 4307억원으로 전년동기(7748억원) 대비 44.41% 감소했다. 신규 수주 감소와 맞물려 수주잔액도 줄어든 만큼 내부거래가 단기간에 회복되기는 어려울 것으로 전망된다.
 
든든한 수주잔액·친환경 투자 버팀목
그룹에 소속된 건설사의 실적은 계열사 상태에 연동되는 특성이 있다. 계열사가 성장가도를 달리면 신규 투자가 늘어나는 만큼 캡티브 혜택을 받을 수 있지만, 부진할 경우 홀로서기가 필요하기 때문이다.
그간 안정적인 캡티브 확보는 포트폴리오 다각화에 기여했지만 철강산업 경기둔화와 그룹사의 투자전략 변화 등으로 계열사 발주 물량이 감소하면서 건축·주택 부문으로의 쏠림 현상이 나타나고 있다. 지난해 신규 수주와 수주잔액에서 건축·주택 공사가 차지하는 비중은 각각 81.22%, 80.45%로 높은 수준이다. 캡티브가 줄어든 가운데 일감 확보를 위해 도시정비사업에서 적극적인 영업활동을 벌이고 있어 비중 쏠림은 더 심화할 수 있다.
그룹의 투자속도 조절로 캡티브 일감이 적어진 상황에서 연평균 매출의 4배인 41조819억원의 수주잔액은 버팀목이다. 이와 더불어 공격적인 주택공급 확대에 나서며 중장기 매출은 유지될 것으로 예상된다.
또 그룹이 신사업으로 이차전지 소재, 수소 등에 대한 투자기조를 지속하면서 캡티브 수주가 회복될 가능성도 있다. 본업인 철강의 저탄소 확대도 기대요인으로 꼽힌다. 한국신용평가는 이차전지를 비롯해 친환경 투자 수요가 유효한 점을 감안할 때 연간 1조원 이상의 캡티브 매출이 유지될 것으로 내다봤다.
변동성이 큰 주택사업의 실적을 개선하는 데는 캡티브 회복이 필요한 것으로 진단된다. 포스코이앤씨는 2020년 이후 정비사업 공급 지연에 따른 건축부문의 매출둔화를 캡티브에 기반한 플랜트부문의 매출 반등으로 보완하기도 했다.",-1.0
2025.07.24 14:03,"정부·노조, '노동자 추락사' 포스코 광양제철소에 전방위 압박","李대통령 ""철저히 조사"" 지시 1주일만에 고용노동청·경찰 압수수색
플랜트노조 ""예고된 인재""…사측 ""재발방지 대책 강구""








포스코 광양제철소
[포스코 광양제철소 제공. 재판매 및 DB 금지]
    (광주=연합뉴스) 손상원 기자 = 포스코 광양제철소가 3명의 사상자를 낸 추락사고 책임을 추궁하는 고용노동부, 경찰, 노조 등의 전방위 압박을 받고 있다. 
    이재명 대통령이 엄정한 조사를 주문하면서 중대재해 처벌 등에 관한 법률 위반 여부 등 수사 결과에도 관심이 커졌다. 
    광주지방고용노동청과 전남경찰청은 24일 포스코 광양제철소 현장 사무실, 철거 업체 본사·현장 사무실을 압수수색했다.
    사고 발생 후 10일, 이 대통령이 철저한 조사를 지시한 지 7일 만이다.
    광양제철소에서는 지난 14일 집진기 배관을 철거하던 중 구조물이 무너지면서 철거 업체 노동자들이 추락해 1명이 숨지고 2명이 다쳤다.
    이 대통령은 지난 17일 수석보좌관 회의에서 ""사고 원인을 신속하고 철저히 조사하고, 안전조치에 미비점이 없었는지 확인해 엄정히 책임을 물어야 한다""고 말했다.
    수사 당국은 붕괴 원인과 함께 위험 방지 대책 등 안전 수칙 준수 여부를 살피고 있다.
    특히 포스코의 도급인 지위 여부를 파악해 산업안전보건법이나 중대재해처벌법을 위반했는지 가릴 방침이다.
    철거 작업이 건설 공사로 판단되면 포스코는 '발주자'가 될 가능성이 높아 안전보건 조치 의무가 적용되지 않는다.
    건설 외 다른 공사인 경우 포스코가 '도급인'(원청)이 돼 안전보건 조치 의무를 질 수 있다.
    건설 공사에 해당하는지 판단이 수사의 주요 변수가 될 수 있다. 
    노조는 이번 사고를 '예고된 인재'라고 규정했다.
    전국 플랜트건설노조 전남 동부 경남 서부지부는 이날 오후 광양제철소 앞에서 기자회견을 열어 명백한 사고 조사와 실질적 재발 방지 대책을 촉구할 예정이다.
    노조는 ""대통령이 언급해야만 움직이고, 국회의원이 지적해야만 반응하는 현실에서 이름조차 알 수 없는 많은 노동자가 매일 추락하고, 끼이고, 맞아 죽어간다""며 ""포스코는 모든 책임을 져야 한다""고 강조했다.
    노조는 ""1991년 설치 후 1996년부터 불용으로 방치한 설비를 한 번도 교체하거나 정비하지 않은 포스코의 무책임이 사고의 원인""이라며 ""위험의 외주화, 최저가 낙찰제, 원가 절감이라는 이름으로 현장을 방치하고 책임을 하청에 떠넘기는 구조에서 참극은 언제라도 반복된다는 것을 명심하라""고 말했다.
    포스코 모든 사업장의 노후 설비 전수 조사·교체, 경영진의 공개 사과, 고용노동부의 특별 관리 감독, 중대재해처벌법 적용 등을 노조는 요구했다.
    포스코 광양제철소 관계자는 ""노후 설비를 철저히 점검하고 부족한 부분을 개선하는 데 최선을 다하겠다""며 ""사고 조사와 원인 규명에 성실히 임하고 재발 방지 대책을 강구하겠다""고 말했다.
    sangwon700@yna.co.kr",-0.5
2025.07.24 14:01,포스코 협력사도 ‘기술 계승·성과 공유’…숙련 중심 일터혁신이 답...,"노사발전재단, 4차 사례공유 포럼 개최
청인·포웰의 상생 성과 공유
고령 숙련인력 기술 잇고, 평가·보상 체계 혁신
“경쟁 대신 성장”…원청-협력사 상생의 현장 실험








노사발전재단과 에이피씨컨설팅은 7월 24일 경북 포항시에서 2025년 제4차 일터혁신 사례공유 포럼을 개최했다. [노사발전재단 제공]
[헤럴드경제=김용훈 기자] “정년퇴직자와 함께 기술도 은퇴할 수는 없잖습니까.”
포스코 수처리 설비를 담당하는 협력사 청인의 한 관계자는 “숙련 전수는 기업 생존의 문제”라며 이같이 말했다. 이처럼 고령화, 기술 격차, 출신 간 갈등 등 복잡한 문제를 숙련 중심의 일터혁신으로 풀어낸 사례들이 공유됐다.
노사발전재단은 24일 경북 포항 티파니웨딩홀에서 ‘포스코-협력사 상생을 위한 숙련 중심 일터혁신’을 주제로 2025년 제4차 일터혁신 사례공유 포럼을 열었다. 이 자리에는 협력사 청인과 포웰, 원청사 포스코가 참여해 컨설팅 성과와 상생 모델을 소개했다.
청인은 전 직원 중 46%가 50대 이상인 고령 기업이다. 핵심 수처리 기술을 가진 이들의 퇴직이 곧 기술 단절로 이어질 수밖에 없던 구조였다. 이들은 외부 온라인 교육의 한계를 절감하고, 직무별 사내 교육과정을 개발했다. 교육 성과를 승진·보상과 연계하고, 고령 인력을 사내 강사로 육성하는 숙련전수 시스템을 도입했다. 그 결과 기술의 연속성은 물론 장년 근로자의 자존감과 참여도도 높아졌다. 청인은 이 성과로 2023년 직업능력개발훈련 최우수상을, 2024년에는 노사문화 우수기업에 선정됐다.
포웰의 고민은 내부 격차였다. 포스코 출신과 비출신 간 임금·승진 불균형이 조직의 갈등 요인이 됐다. 포웰은 숙련수준을 기준으로 한 직무평가체계를 새로 도입하고, ‘승진 포인트제’를 통해 역량 중심 인사제도를 구축했다. 이 제도는 비출신 근로자들의 동기를 북돋았고, 능력 중심 조직문화로 전환하는 계기가 됐다. 포웰 역시 2023년 노사문화 우수기업, 2024년 일터혁신 우수기업으로 선정됐으며, 매출도 10% 증가하는 성과를 거뒀다.
원청사 포스코도 일터혁신 컨설팅과 함께 일학습병행, 체계적 현장훈련(S-OJT) 등을 통해 협력사의 인적자원 최적화를 지원하고 있다. 노사발전재단 박종필 사무총장은 “숙련 중심 일터혁신은 근로조건 개선, 생산성 향상, 원청 경쟁력 강화로 이어지는 상생의 해법”이라며 “앞으로도 다양한 방식으로 일터혁신을 지속적으로 지원하겠다”고 밝혔다.
이번 포럼은 서울과학기술대학교 노용진 교수, 고용노동부 박세호 과장, 경북동부경총 이재구 부회장, 포스코 윤좌현 차장이 패널로 참여한 전문가 토론으로 마무리됐다.",0.0
2025.07.24 14:00,"""정년 앞둔 숙련공이 지식 전수""…포스코·협력사 일터혁신 공유","노사발전재단. 2025년 제4차 일터혁신 사례공유 포럼
청인, 인력 46%가 50대 이상…기술 전수해 공백 예방
포웰, 숙련도와 승진 연계…비 포스코 출신 기회 확대








[포항=뉴시스] 안병철 기자 = 포스코 포항제철소 내 용광로에서 근로자들이 더위를 식히기 위해 얼음물을 마시고 있다.(사진=포스코 제공) 2025.07.07. photo@newsis.com
[서울=뉴시스] 고홍주 기자 = 노사발전재단이 24일 경북 포항시에서 '포스코·협력사 상생을 위한 숙련 중심의 일터혁신'을 주제로 2025년 제4차 일터혁신 사례공유 포럼을 개최했다.
이번 포럼에서는 에이치피씨컨설팅이 수행한 컨설팅 사례를 중심으로, 포스코 협력사 2곳과 포스코의 상생 지원 사례가 발표됐다.
첫 번째 사례 발표는 포스코 협력사인 청인이다. 청인은 전체 인력의 46%가 50대 이상으로, 이들이 핵심적인 수처리 기술과 비결을 보유하고 있어 정년퇴직 시 핵심기술 단절이 우려되는 상황이었다. 고령 숙련인력의 지식과 비결을 전수할 수 있는 숙련전수시스템이 필수적이지만, 외부 온라인 교육에 의존해 내부 직무전문가를 육성하는 데 어려움이 있었다.
이에 노사발전재단의 일터혁신 상생 컨설팅을 통해 직무별 교육과정을 도입하고 교육평가 결과를 보상 및 승진과 연계해 교육 참여를 강화했다. 또 역량 공백이 예상되는 직무에는 고령의 숙련인력을 사내 강사로 육성하고, 이들이 직접 교안 개발과 강의 진행까지 할 수 있게 지원해 기술을 지속해서 축적했다. 이를 통해 장년 근로자의 사기와 자존감은 높이고, 퇴직에 따른 기술 공백을 예방할 수 있었다.
청인은 지난 2023년 사업주 직업능력개발훈련 우수사례 경진대회에서 최우수상을 받고 2024년에는 노사문화 우수기업에 선정되는 등의 외부 성과도 얻었다.
두 번째 발표 기업은 포스코 내 전문직 부서 외주화 정책에 따라 분사된 포웰이다.
이들은 포스코 출신 근로자와 비 포스코 출신 근로자 간의 임금 격차로 인해 비 포스코 출신들을 중심으로 승진과 임금인상에 대한 요구가 커졌다. 이에 포웰도 일터혁신 상생 컨설팅을 신청했고, 직무역량 수준을 재정의해 직무별 숙련 수준을 평가 결과에 반영해 직능급과 승진, 교육에 연계했다.
특히 '승진 포인트제'를 도입해 역량평가 등급을 점수화하고, 직능수준이 높은 근로자가 우선 승진할 수 있도록 했다.
이 제도는 비 포스코 출신의 승진 기회를 확대하면서 근로자 동기부여를 강화했고, 숙련 수준을 승진과 연계함으로써 능력 중심의 조직문화를 조성하는 데 기여했다.
포웰 역시 2023년 노사문화 우수기업과 2024년 일터혁신 우수기업에 선정됐고, 매출액도 10% 증가하는 등 외부적인 성과를 얻을 수 있었다.
한편 이날 포럼에서는 원청사인 포스코의 지원 사례도 공유됐다. 포스코는 협력사의 인적 자원을 최적화하고 성과에 직접 연계될 수 있게 일학습병행과 체계적 현장훈련(S-OJT)을 지원하고, 일터혁신 상생컨설팅을 통한 숙련 체계 구축을 독려하고 있다.
박종필 노사발전재단 사무총장은 ""이번 포럼은 숙련 중심의 일터혁신을 통해 근로조건 개선과 생산성 향상, 원청의 경쟁력 제고까지 이어지는 상생모델을 제시한 의미있는 자리였다""며 ""앞으로도 다양한 방식의 일터혁신 지원을 통해 더 나은 일터를 만들어나가겠다""고 말했다.",0.5
2025.07.24 14:00,"""정년 앞둔 숙련공이 지식 전수""…포스코·협력사 일터혁신 공유","노사발전재단. 2025년 제4차 일터혁신 사례공유 포럼
청인, 인력 46%가 50대 이상…기술 전수해 공백 예방
포웰, 숙련도와 승진 연계…비 포스코 출신 기회 확대








[포항=뉴시스] 안병철 기자 = 포스코 포항제철소 내 용광로에서 근로자들이 더위를 식히기 위해 얼음물을 마시고 있다.(사진=포스코 제공) 2025.07.07. photo@newsis.com
[서울=뉴시스] 고홍주 기자 = 노사발전재단이 24일 경북 포항시에서 '포스코·협력사 상생을 위한 숙련 중심의 일터혁신'을 주제로 2025년 제4차 일터혁신 사례공유 포럼을 개최했다.
이번 포럼에서는 에이치피씨컨설팅이 수행한 컨설팅 사례를 중심으로, 포스코 협력사 2곳과 포스코의 상생 지원 사례가 발표됐다.
첫 번째 사례 발표는 포스코 협력사인 청인이다. 청인은 전체 인력의 46%가 50대 이상으로, 이들이 핵심적인 수처리 기술과 비결을 보유하고 있어 정년퇴직 시 핵심기술 단절이 우려되는 상황이었다. 고령 숙련인력의 지식과 비결을 전수할 수 있는 숙련전수시스템이 필수적이지만, 외부 온라인 교육에 의존해 내부 직무전문가를 육성하는 데 어려움이 있었다.
이에 노사발전재단의 일터혁신 상생 컨설팅을 통해 직무별 교육과정을 도입하고 교육평가 결과를 보상 및 승진과 연계해 교육 참여를 강화했다. 또 역량 공백이 예상되는 직무에는 고령의 숙련인력을 사내 강사로 육성하고, 이들이 직접 교안 개발과 강의 진행까지 할 수 있게 지원해 기술을 지속해서 축적했다. 이를 통해 장년 근로자의 사기와 자존감은 높이고, 퇴직에 따른 기술 공백을 예방할 수 있었다.
청인은 지난 2023년 사업주 직업능력개발훈련 우수사례 경진대회에서 최우수상을 받고 2024년에는 노사문화 우수기업에 선정되는 등의 외부 성과도 얻었다.
두 번째 발표 기업은 포스코 내 전문직 부서 외주화 정책에 따라 분사된 포웰이다.
이들은 포스코 출신 근로자와 비 포스코 출신 근로자 간의 임금 격차로 인해 비 포스코 출신들을 중심으로 승진과 임금인상에 대한 요구가 커졌다. 이에 포웰도 일터혁신 상생 컨설팅을 신청했고, 직무역량 수준을 재정의해 직무별 숙련 수준을 평가 결과에 반영해 직능급과 승진, 교육에 연계했다.
특히 '승진 포인트제'를 도입해 역량평가 등급을 점수화하고, 직능수준이 높은 근로자가 우선 승진할 수 있도록 했다.
이 제도는 비 포스코 출신의 승진 기회를 확대하면서 근로자 동기부여를 강화했고, 숙련 수준을 승진과 연계함으로써 능력 중심의 조직문화를 조성하는 데 기여했다.
포웰 역시 2023년 노사문화 우수기업과 2024년 일터혁신 우수기업에 선정됐고, 매출액도 10% 증가하는 등 외부적인 성과를 얻을 수 있었다.
한편 이날 포럼에서는 원청사인 포스코의 지원 사례도 공유됐다. 포스코는 협력사의 인적 자원을 최적화하고 성과에 직접 연계될 수 있게 일학습병행과 체계적 현장훈련(S-OJT)을 지원하고, 일터혁신 상생컨설팅을 통한 숙련 체계 구축을 독려하고 있다.
박종필 노사발전재단 사무총장은 ""이번 포럼은 숙련 중심의 일터혁신을 통해 근로조건 개선과 생산성 향상, 원청의 경쟁력 제고까지 이어지는 상생모델을 제시한 의미있는 자리였다""며 ""앞으로도 다양한 방식의 일터혁신 지원을 통해 더 나은 일터를 만들어나가겠다""고 말했다.",0.5
2025.07.24 11:39,"고용부·경찰, '근로자 추락사' 포스코 광양제철소 압수수색","[광양제철소 (광양제철소 제공=연합뉴스)]
상부 배관 철거 작업 중 근로자가 추락해 숨진 사고가 발생한 포스코 광양제철소에 대해 경찰과 고용노동부가 강제 수사에 나섰습니다.
    
광주고용노동청과 전남경찰청은 오늘(24일) 오전 광양제철소와 철거업체 사무실 등에 근로감독관과 경찰 등 30여명을 투입해 압수수색을 단행했습니다.
    
압수수색으로 확보한 증거 자료를 바탕으로 산업안전보건법 및 중대재해처벌법 위반 여부 등을 확인한다는 계획입니다. 
    
특히 철거 대상 구조물이 붕괴하게 된 원인을 살펴보고 구조물 붕괴를 예방하기 위해 안전한 철거 계획을 수립했는지를 따져볼 계획입니다. 또 불법 하도급이 이뤄지지는 않았는지 등을 확인할 예정입니다.  
    
이 사고는 지난 14일 오후 3시께 집진기 배관 해체 작업 과정에서 구조물이 붕괴하면서 발생했습니다. 20ｍ 아래로 추락한 근로자 3명이 추락해 이 중 1명이 숨졌습니다.
    
이에 대해 이재명 대통령은 ""'아직도 이런 사고가 발생하나'라는 생각이 들 때가 있다""면서 ""사고 원인을 신속하고 철저히 조사하고, 안전조치에 미비점이 없었는지 확인해 엄정히 책임을 물어야 한다""고 지시했습니다.
 
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",-1.0
2025.07.24 10:04,"고용부·경찰, 포스코 광양제철소 추락사 관련 압수수색","포스코 광양제철소 전경. /사진=포스코
 
고용노동부와 경찰이 전남 포스코 광양제철소에서 발생한 노동자 추락사고와 관련한 압수수색을 실시했다. 
24일 뉴시스 보도에 따르면 광주지방고용노동청과 전라남도경찰청은 이날 오전 9시쯤부터 포스코 광양제철소 현장사무실, 철거업체 본사 및 현장사무실 등을 대상으로 압수수색을 진행하고 있다. 
앞서 지난 14일 전남 광양 소재 광양제철소에서 집진기의 배관을 철거하던 노동자가 추락해 사망하는 사고가 일어났다. 이에 근로감독관 및 경찰 30여명이 압수수색에 투입됐다. 
고용부는 압수수색을 통해 철거 대상 구조물의 붕괴 원인을 파악할 방침이다. 안전한 철거계획이 수립됐는지 등 안전 수칙 준수 및 포스코에 대한 도급인 지위 여부 등도 살펴볼 예정이다. 
광주지방고용노동청은 확보된 증거자료를 바탕으로 사고 원인을 철저하게 규명할 계획이다. 산업안전보건법 및 중대재해처벌법 위반 여부 등을 엄정하고 신속히 수사한다.",-1.0
2025.07.24 10:04,"고용부·경찰, 포스코 광양제철소 추락사 관련 압수수색","포스코 광양제철소 전경. /사진=포스코
 
고용노동부와 경찰이 전남 포스코 광양제철소에서 발생한 노동자 추락사고와 관련한 압수수색을 실시했다. 
24일 뉴시스 보도에 따르면 광주지방고용노동청과 전라남도경찰청은 이날 오전 9시쯤부터 포스코 광양제철소 현장사무실, 철거업체 본사 및 현장사무실 등을 대상으로 압수수색을 진행하고 있다. 
앞서 지난 14일 전남 광양 소재 광양제철소에서 집진기의 배관을 철거하던 노동자가 추락해 사망하는 사고가 일어났다. 이에 근로감독관 및 경찰 30여명이 압수수색에 투입됐다. 
고용부는 압수수색을 통해 철거 대상 구조물의 붕괴 원인을 파악할 방침이다. 안전한 철거계획이 수립됐는지 등 안전 수칙 준수 및 포스코에 대한 도급인 지위 여부 등도 살펴볼 예정이다. 
광주지방고용노동청은 확보된 증거자료를 바탕으로 사고 원인을 철저하게 규명할 계획이다. 산업안전보건법 및 중대재해처벌법 위반 여부 등을 엄정하고 신속히 수사한다.",-1.0
